Pct-Contest-Candidate totals for horry
      1 0104 CONG01_U.S._House_of_Representatives_Dis W/I_JON_PAUL_GARDNER 
    439 0104 Commissioner_of_Agriculture Hugh_Weathers 
    134 0104 Commissioner_of_Agriculture Tom_E_Elliott 
    149 0104 Comptroller_General Robert_Barber 
    424 0104 Comptroller_General Richard_A_Eckstrom 
    453 0104 County_Council_Chairman Tom_Rice 
    115 0104 County_Council_Chairman Vincent_Lehotsky 
    404 0104 Governor Nikki_R_Haley 
    164 0104 Governor Vincent_A_Sheheen 
      4 0104 Governor Morgan_Bruce_Reeves 
      3 0104 Governor Morgan_Bruce_Reeves  
    133 0104 HSE0058_State_House_of_Representatives_D Butch_Johnson 
      1 0104 HSE0058_State_House_of_Representatives_D W/I_JOSH_SLOAN 
    436 0104 HSE0058_State_House_of_Representatives_D Liston_D_Barfield 
    420 0104 Lieutenant_Governor Ken_Ard 
    147 0104 Lieutenant_Governor Ashley_Cooper 
    491 0104 Probate_Judge Deirdre_W_Edmonds 
    253 0104 Public_Transportation_Referendum No 
    306 0104 Public_Transportation_Referendum Yes 
     70 0104 STRAIGHT_PARTY Democratic 
    166 0104 STRAIGHT_PARTY Republican 
      1 0104 STRAIGHT_PARTY Independence 
      3 0104 STRAIGHT_PARTY Working_Families 
    441 0104 Secretary_of_State Mark_Hammond 
    124 0104 Secretary_of_State Marjorie_L_Johnson 
    377 0104 Soil__and_Water_District_Commission Glenn_Winburn 
    233 0104 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
    499 0104 Solicitor_Circuit_15 Greg_Hembree 
    402 0104 State_Superintendent_of_Education Mick_Zais 
      9 0104 State_Superintendent_of_Education Tim_Moultrie 
      6 0104 State_Superintendent_of_Education Tony_Fayyazi 
      7 0104 State_Superintendent_of_Education Doretha_A_Bull 
    146 0104 State_Superintendent_of_Education Frank_Holleman 
    469 0104 State_Treasurer Curtis_Loftis 
      1 0104 State_Treasurer W/I_STEPHEN_COLBERT 
    452 0104 U.S._Senate Jim_DeMint 
     35 0104 U.S._Senate Tom_Clements 
     82 0104 U.S._Senate Alvin_M_Greene 
    157 0105 Adjutant_General Bob_Livingston 
      1 0105 Adjutant_General W/I_PHILIP_JACOBSON 
     44 0105 Amendment_1 No 
    182 0105 Amendment_1 Yes 
     49 0105 Amendment_2 No 
    173 0105 Amendment_2 Yes 
     97 0105 Amendment_3 No 
    122 0105 Amendment_3 Yes 
     82 0105 Amendment_4 No 
    134 0105 Amendment_4 Yes 
    138 0105 Attorney_General Alan_Wilson 
     91 0105 Attorney_General Matthew_Richardson 
    142 0105 Board_of_Education_Chairman Will_Garland 
     82 0105 Board_of_Education_Chairman Subhash_C_Saxena 
      4 0105 CCL0011_County_Council_District_11 Al_Allen 
      7 0105 CCL0011_County_Council_District_11 R_A_Johnson 
      3 0105 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
    137 0105 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
      3 0105 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
     79 0105 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      2 0105 CONG01_U.S._House_of_Representatives_Dis Robert_Dobbs 
      2 0105 CONG01_U.S._House_of_Representatives_Dis Keith_Blandford 
    145 0105 Commissioner_of_Agriculture Hugh_Weathers 
     83 0105 Commissioner_of_Agriculture Tom_E_Elliott 
     85 0105 Comptroller_General Robert_Barber 
    143 0105 Comptroller_General Richard_A_Eckstrom 
    144 0105 County_Council_Chairman Tom_Rice 
     83 0105 County_Council_Chairman Vincent_Lehotsky 
    136 0105 Governor Nikki_R_Haley 
      1 0105 Governor W/I_KEVIN_SUGGS 
     89 0105 Governor Vincent_A_Sheheen 
      1 0105 Governor Morgan_Bruce_Reeves 
      2 0105 Governor Morgan_Bruce_Reeves  
     71 0105 HSE0058_State_House_of_Representatives_D Butch_Johnson 
     82 0105 HSE0058_State_House_of_Representatives_D Liston_D_Barfield 
     67 0105 HSE0105_State_House_of_Representatives_D George_M_Hearn 
      1 0105 HSE0105_State_House_of_Representatives_D W/I_PHILIP_JACOBSON 
    143 0105 Lieutenant_Governor Ken_Ard 
     85 0105 Lieutenant_Governor Ashley_Cooper 
    164 0105 Probate_Judge Deirdre_W_Edmonds 
      1 0105 Probate_Judge W/I_PHILIP_JACOBSON 
     96 0105 Public_Transportation_Referendum No 
    122 0105 Public_Transportation_Referendum Yes 
    137 0105 SCH0010_Board_of_Education_District_10 Neil_James 
     81 0105 SCH0010_Board_of_Education_District_10 Lucian_N_Norton_Jr 
     61 0105 STRAIGHT_PARTY Democratic 
     76 0105 STRAIGHT_PARTY Republican 
      1 0105 STRAIGHT_PARTY Working_Families 
    144 0105 Secretary_of_State Mark_Hammond 
     80 0105 Secretary_of_State Marjorie_L_Johnson 
     76 0105 Soil__and_Water_District_Commission Glenn_Winburn 
     88 0105 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
    162 0105 Solicitor_Circuit_15 Greg_Hembree 
      1 0105 Solicitor_Circuit_15 W/I_PHILIP_JACOBSON 
    130 0105 State_Superintendent_of_Education Mick_Zais 
      3 0105 State_Superintendent_of_Education Tim_Moultrie 
      3 0105 State_Superintendent_of_Education Tony_Fayyazi 
     86 0105 State_Superintendent_of_Education Frank_Holleman 
    158 0105 State_Treasurer Curtis_Loftis 
      1 0105 State_Treasurer W/I_PHILIP_JACOBSON 
    147 0105 U.S._Senate Jim_DeMint 
      5 0105 U.S._Senate Tom_Clements 
     75 0105 U.S._Senate Alvin_M_Greene 
    479 0106 Adjutant_General Bob_Livingston 
      1 0106 Adjutant_General W/I_JOHN_WHITTY 
     66 0106 Amendment_1 No 
    572 0106 Amendment_1 Yes 
     92 0106 Amendment_2 No 
    554 0106 Amendment_2 Yes 
    199 0106 Amendment_3 No 
    443 0106 Amendment_3 Yes 
    179 0106 Amendment_4 No 
    469 0106 Amendment_4 Yes 
    381 0106 Attorney_General Alan_Wilson 
     16 0106 Attorney_General Leslie_Minerd 
    266 0106 Attorney_General Matthew_Richardson 
    453 0106 Board_of_Education_Chairman Will_Garland 
    199 0106 Board_of_Education_Chairman Subhash_C_Saxena 
    211 0106 CCL0001_County_Council_District_1 Brian_Scott 
    353 0106 CCL0001_County_Council_District_1 Harold_Worley 
      8 0106 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
    425 0106 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
      9 0106 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
    202 0106 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
     10 0106 CONG01_U.S._House_of_Representatives_Dis Robert_Dobbs 
      6 0106 CONG01_U.S._House_of_Representatives_Dis Keith_Blandford 
      4 0106 CONG01_U.S._House_of_Representatives_Dis M_E_Mac_McCullough 
    421 0106 Commissioner_of_Agriculture Hugh_Weathers 
    234 0106 Commissioner_of_Agriculture Tom_E_Elliott 
    238 0106 Comptroller_General Robert_Barber 
    418 0106 Comptroller_General Richard_A_Eckstrom 
    435 0106 County_Council_Chairman Tom_Rice 
    221 0106 County_Council_Chairman Vincent_Lehotsky 
    411 0106 Governor Nikki_R_Haley 
    256 0106 Governor Vincent_A_Sheheen 
      6 0106 Governor Morgan_Bruce_Reeves 
      3 0106 Governor Morgan_Bruce_Reeves  
    400 0106 HSE0104_State_House_of_Representatives_D Tracy_R_Edge 
    235 0106 HSE0104_State_House_of_Representatives_D Charles_J_Randall 
     28 0106 HSE0104_State_House_of_Representatives_D Patricia_Matthews 
    412 0106 Lieutenant_Governor Ken_Ard 
    249 0106 Lieutenant_Governor Ashley_Cooper 
      1 0106 Probate_Judge W/I_GUY_HUARD 
    482 0106 Probate_Judge Deirdre_W_Edmonds 
    213 0106 Public_Transportation_Referendum No 
    444 0106 Public_Transportation_Referendum Yes 
    411 0106 SCH0001_Board_of_Education_District_1 Harvey_Eisner 
      1 0106 SCH0001_Board_of_Education_District_1 W/I_BETH_HAVENS 
      1 0106 STRAIGHT_PARTY Green 
    134 0106 STRAIGHT_PARTY Democratic 
    225 0106 STRAIGHT_PARTY Republican 
      1 0106 STRAIGHT_PARTY Libertarian 
      6 0106 STRAIGHT_PARTY Independence 
      3 0106 STRAIGHT_PARTY Working_Families 
    427 0106 Secretary_of_State Mark_Hammond 
    226 0106 Secretary_of_State Marjorie_L_Johnson 
    241 0106 Soil__and_Water_District_Commission Glenn_Winburn 
      1 0106 Soil__and_Water_District_Commission W/I_JAMES_LANE 
      1 0106 Soil__and_Water_District_Commission W/I_PAUL_MCKNIGHT 
      1 0106 Soil__and_Water_District_Commission W/I_WILLIAM_FERRELL 
    295 0106 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
      1 0106 Soil__and_Water_District_Commission W/I_>JAMESCENA_HOPE_LARSON 
    494 0106 Solicitor_Circuit_15 Greg_Hembree 
      1 0106 Solicitor_Circuit_15 W/I_JAMIE_SMITHSON 
    389 0106 State_Superintendent_of_Education Mick_Zais 
     23 0106 State_Superintendent_of_Education Tim_Moultrie 
     15 0106 State_Superintendent_of_Education Tony_Fayyazi 
     15 0106 State_Superintendent_of_Education Doretha_A_Bull 
    205 0106 State_Superintendent_of_Education Frank_Holleman 
    482 0106 State_Treasurer Curtis_Loftis 
      1 0106 State_Treasurer W/I_KATIE_HUARD 
    437 0106 U.S._Senate Jim_DeMint 
     57 0106 U.S._Senate Tom_Clements 
    161 0106 U.S._Senate Alvin_M_Greene 
     83 0107 Adjutant_General Bob_Livingston 
      8 0107 Amendment_1 No 
     89 0107 Amendment_1 Yes 
     18 0107 Amendment_2 No 
     75 0107 Amendment_2 Yes 
     37 0107 Amendment_3 No 
     55 0107 Amendment_3 Yes 
     30 0107 Amendment_4 No 
     62 0107 Amendment_4 Yes 
     74 0107 Attorney_General Alan_Wilson 
      1 0107 Attorney_General Leslie_Minerd 
     20 0107 Attorney_General Matthew_Richardson 
     77 0107 Board_of_Education_Chairman Will_Garland 
     16 0107 Board_of_Education_Chairman Subhash_C_Saxena 
     16 0107 CCL0007_County_Council_District_7 James_R_Frazier 
     33 0107 CCL0011_County_Council_District_11 Al_Allen 
     21 0107 CCL0011_County_Council_District_11 R_A_Johnson 
      2 0107 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
     76 0107 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
      2 0107 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
     12 0107 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      2 0107 CONG01_U.S._House_of_Representatives_Dis Robert_Dobbs 
      1 0107 CONG01_U.S._House_of_Representatives_Dis M_E_Mac_McCullough 
     78 0107 Commissioner_of_Agriculture Hugh_Weathers 
     16 0107 Commissioner_of_Agriculture Tom_E_Elliott 
     16 0107 Comptroller_General Robert_Barber 
     79 0107 Comptroller_General Richard_A_Eckstrom 
