Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
PCT TOTAL        METHODIST_REHOBETH 0166     212:     212
0167 5123428       3       3       3 :       3
0167 5134658      82      82      82 :      85
0167 5136466      61      61      61 :     146
PCT TOTAL                MILL_SWAMP 0167     146:     146
0168 5121820      76      76      76 :      76
0168 5129859      85      85      85 :     161
PCT TOTAL                 MT._OLIVE 0168     161:     161
0169 5125200     119     119     119 :     119
0169 5129278     110     110     110 :     229
PCT TOTAL                MT._VERNON 0169     229:     229
0170 5124073     175     175     175 :     175
0170 5125397     112     112     112 :     287
0170 5127525     154     154     154 :     441
0170 5131457     167     167     167 :     608
PCT TOTAL              MYRTLE_TRACE 0170     608:     608
0171 5126497     130     130     130 :     130
0171 5133523     129     129     129 :     259
0171 5133620      36      36      36 :     295
PCT TOTAL             MYRTLEWOOD_#1 0171     295:     415 (      120) ZORK
0172 5122005     143     143     143 :     143
0172 5123919     158     158     158 :     301
0172 5126047     155     155     155 :     456
0172 5130944     142     142     142 :     598
0172 5133046     153     153     153 :     751
PCT TOTAL             MYRTLEWOOD_#2 0172     751:     751
0173 5106915      89      89      89 :      89
0173 5128213     146     146     146 :     235
0173 5129410     139     139     139 :     374
0173 5133184     154     154     154 :     528
PCT TOTAL             MYRTLEWOOD_#3 0173     528:     669 (      141) ZORK
0174 5118414     121     121     121 :     121
0174 5119109     129     129     129 :     250
0174 5121540     116     116     116 :     366
0174 5122550     118     118     118 :     484
0174 5123336     118     118     118 :     602
0174 5126432     105     105     105 :     707
0174 5128607     112     112     112 :     819
0174 5128968     116     116     116 :     935
0174 5129021     121     121     121 :    1056
0174 5132125     134     134     134 :    1190
0174 5138825     121     121     121 :    1311
PCT TOTAL          NIXONS_XROADS_#1 0174    1311:    1311
0175 5114570     136     136     136 :     136
0175 5121192     133     133     133 :     269
0175 5127248      69      69      69 :     338
0175 5184040     117     117     117 :     455
PCT TOTAL          NIXONS_XROADS_#2 0175     455:     627 (      172) ZORK
0176 5127929     100     100     100 :     100
0176 5129606      84      84      84 :     184
0176 5134832     111     111     111 :     295
PCT TOTAL           NORTH_CONWAY_#1 0176     295:     295
0177 5120228     115     115     115 :     115
0177 5124548     128     128     128 :     243
0177 5124793     128     128     128 :     371
0177 5133588     113     113     113 :     484
PCT TOTAL           NORTH_CONWAY_#2 0177     484:     484
0178 5121680      38      38      38 :      38
0178 5122866      34      34      34 :      72
PCT TOTAL                    NORTON 0178      72:      72
0179 5122107     123     123     123 :     123
0179 5125788     128     128     128 :     251
0179 5134732     115     115     115 :     366
0179 5143834     130     130     130 :     496
PCT TOTAL            OCEAN_DRIVE_#1 0179     496:     629 (      133) ZORK
0180 5102666     144     144     144 :     144
0180 5120031     108     108     108 :     252
0180 5126705     153     153     153 :     405
0180 5127927     128     128     128 :     533
0180 5128305     129     129     129 :     662
0180 5128885     130     130     130 :     792
0180 5130165     100     100     100 :     892
0180 5151477     113     113     113 :    1005
0180 5183366     141     141     141 :    1146
PCT TOTAL            OCEAN_DRIVE_#2 0180    1146:    1146
0181 5111150     131     131     131 :     131
0181 5118695      27      27      27 :     158
0181 5123823     151     151     151 :     309
0181 5129389     150     150     150 :     459
0181 5134670     163     163     163 :     622
PCT TOTAL           OCEAN_FOREST_#1 0181     622:     622
0182 5122386     141     141     141 :     141
0182 5126374     150     150     150 :     291
