Pct-Contest-Candidate totals for mccormick
     74 0013 CON0003_U.S._House_of_Rep_Dist_3 Jeff_Duncan 
     20 0013 CON0003_U.S._House_of_Rep_Dist_3 Jane_Ballard_Dyer 
      4 0013 CON0003_U.S._House_of_Rep_Dist_3 Jane_Ballard_Dyer      
     76 0013 Commissioner_of_Agriculture Hugh_Weathers 
     23 0013 Commissioner_of_Agriculture Tom_E_Elliott 
     23 0013 Comptroller_General Robert_Barber 
     77 0013 Comptroller_General Richard_A_Eckstrom 
      1 0013 County_Auditor W/I_MICKY_MOUSE 
     71 0013 County_Auditor Virginia_H_Edmunds 
      1 0013 County_Treasurer W/I_MICKY_MOUSE 
     69 0013 County_Treasurer Mary_Gable_Shirley 
      1 0013 County_Treasurer W/I_RICHARD_IZBICKI 
     74 0013 Governor Nikki_R_Haley 
     27 0013 Governor Vincent_A_Sheheen 
      1 0013 Governor Morgan_Bruce_Reeves 
      2 0013 Governor Morgan_Bruce_Reeves      
     19 0013 HOU0012_State_House_of_Rep_Dist_12 Anne_Parks 
     86 0013 HOU0012_State_House_of_Rep_Dist_12 Jennings_G_McAbee 
     75 0013 Lt_Governor Ken_Ard 
     27 0013 Lt_Governor Ashley_Cooper 
     40 0013 Probate_Judge Patsy_Wilson 
     64 0013 Probate_Judge Kathryne_P_Kitty_Butler 
     14 0013 STRAIGHT_PARTY Democratic 
     27 0013 STRAIGHT_PARTY Republican 
      1 0013 STRAIGHT_PARTY Libertarian 
      1 0013 STRAIGHT_PARTY United_Citizens 
      2 0013 STRAIGHT_PARTY Working_Families 
     20 0013 School_Board_Trustee Al_Bell 
     31 0013 School_Board_Trustee Bernard_Moss 
     24 0013 School_Board_Trustee Jerry_Tracey 
     30 0013 School_Board_Trustee Karen_Beckner 
     33 0013 School_Board_Trustee Byron_Thompson 
     45 0013 School_Board_Trustee Andrea_Barry_Mann 
     10 0013 School_Board_Trustee Verteema_S_Chiles 
      1 0013 School_Board_Trustee W/I_RICHARD_IZBICKI 
     79 0013 Secretary_of_State Mark_Hammond 
     22 0013 Secretary_of_State Marjorie_L_Johnson 
     54 0013 Soil_and_Water_District_Commissioner Phyllis_Albert 
